Date,Close
2021-01-01,30425.210595426353
2021-01-02,30342.833012635303
2021-01-03,29481.486331943073
2021-01-04,29763.966184593002
2021-01-05,30014.81945770953
2021-01-06,30851.084710669755
2021-01-07,30415.011262455686
2021-01-08,30023.099810125226
2021-01-09,29593.856386603307
2021-01-10,28882.052497991735
2021-01-11,26818.815132663305
2021-01-12,27603.99808913018
2021-01-13,28282.769995197046
2021-01-14,27089.91492229048
2021-01-15,26772.616855534125
2021-01-16,26203.53572550647
2021-01-17,25665.176930309968
2021-01-18,23977.297067702373
2021-01-19,23495.96744960585
2021-01-20,23995.947511557162
2021-01-21,26065.80559419022
2021-01-22,26405.380447639043
2021-01-23,26527.659332997493
2021-01-24,26139.927828346295
2021-01-25,25683.98196784382
2021-01-26,26465.76793755366
2021-01-27,26723.154729871003
2021-01-28,26239.505377664966
2021-01-29,25446.61324705947
2021-01-30,25340.822778393194
2021-01-31,24955.39379839384
2021-02-01,24991.830515832113
2021-02-02,25690.78510997637
2021-02-03,24756.173239963297
2021-02-04,24963.796943105157
2021-02-05,23436.93360961
2021-02-06,22412.75763084558
2021-02-07,22606.942615401487
2021-02-08,23234.729810762252
2021-02-09,23409.866231507563
2021-02-10,23355.676149030936
2021-02-11,23153.033011568077
2021-02-12,22008.12345440069
2021-02-13,21468.281583450345
2021-02-14,21134.92018928123
2021-02-15,22015.221786375485
2021-02-16,22326.16153576407
2021-02-17,20952.283625140666
2021-02-18,21245.85558928815
2021-02-19,20972.575213564356
2021-02-20,20465.375624995766
2021-02-21,20988.22423918653
2021-02-22,21847.387490721303
2021-02-23,22628.18191174256
2021-02-24,21993.856599238155
2021-02-25,21782.496835463036
2021-02-26,22083.171662037774
2021-02-27,22899.764134551184
2021-02-28,22553.91810692721
2021-03-01,22442.318040908074
2021-03-02,21577.861641216932
2021-03-03,20640.713983344987
2021-03-04,21327.50726055287
2021-03-05,21584.34407775834
2021-03-06,20773.90377156846
2021-03-07,20732.340042162523
2021-03-08,21529.7519626275
2021-03-09,22186.001790019072
2021-03-10,23402.725364660284
2021-03-11,23694.764007589638
2021-03-12,26414.362867332595
2021-03-13,25702.309826923505
2021-03-14,25407.004751446624
2021-03-15,25381.647902522815
2021-03-16,24269.958668348972
2021-03-17,25126.24209205356
2021-03-18,25872.144646245248
2021-03-19,25911.1065281255
2021-03-20,25507.370765772426
2021-03-21,24334.75426880488
2021-03-22,23725.69724556037
2021-03-23,24342.456539269187
2021-03-24,24195.084115569254
2021-03-25,23875.81044353085
2021-03-26,24298.897243113348
2021-03-27,25247.76327319425
2021-03-28,25476.644938986243
2021-03-29,25751.653636002047
2021-03-30,26872.79429795086
2021-03-31,27037.917571514794
2021-04-01,26748.313198671967
2021-04-02,27245.091787875335
2021-04-03,26888.908580934614
2021-04-04,25676.15550981817
2021-04-05,25873.002261763504
2021-04-06,26041.48996975275
2021-04-07,26004.961419482173
2021-04-08,25776.729374149018
2021-04-09,24604.226436463006
2021-04-10,24229.332695261182
2021-04-11,23917.368355421782
2021-04-12,23238.24041300225
2021-04-13,23072.96501516379
2021-04-14,23360.21666740301
2021-04-15,24832.72830224315
2021-04-16,24933.656654067876
2021-04-17,25100.80564093912
2021-04-18,25002.09686491623
2021-04-19,23428.08181445601
2021-04-20,23370.327772434415
2021-04-21,23382.059083035165
2021-04-22,25316.181617263355
2021-04-23,25122.80486023862
2021-04-24,25324.85637648264
2021-04-25,25257.585444695953
2021-04-26,24283.24642725938
2021-04-27,25159.627858029275
2021-04-28,25721.93049032734
2021-04-29,26314.635178793236
2021-04-30,25546.07984957854
